bids_name,fd_mean,fd_perc,fd_num
sub-119_task-choose_run-09_bold,0.093664592,3.846153846,5
sub-119_task-gonogo_run-01_bold,0.107140255,9.090909091,9
sub-119_task-gonogo_run-02_bold,0.134395642,9,9
sub-119_task-switch_bold,0.082059572,2.631578947,5
sub-120_task-choose_run-01_bold,0.09887478,6.153846154,8
sub-120_task-choose_run-02_bold,0.088389947,4.615384615,6
sub-120_task-choose_run-03_bold,0.093398813,6.923076923,9
sub-120_task-choose_run-04_bold,0.098387565,5.384615385,7
sub-120_task-choose_run-05_bold,0.084574192,3.076923077,4
sub-120_task-choose_run-06_bold,0.09620599,3.076923077,4
sub-120_task-choose_run-07_bold,0.106942004,5.384615385,7
sub-120_task-choose_run-08_bold,0.096754322,5.426356589,7
sub-120_task-choose_run-09_bold,0.113677334,10.07751938,13
sub-120_task-gonogo_run-01_bold,0.066842904,4,4
sub-120_task-gonogo_run-02_bold,0.064862091,2,2
sub-120_task-switch_bold,0.098886662,7.368421053,14
sub-121_task-choose_run-01_bold,0.109249709,8.461538462,11
sub-121_task-choose_run-02_bold,0.168137493,18.46153846,24
sub-121_task-choose_run-03_bold,0.085165353,6.153846154,8
sub-121_task-choose_run-04_bold,0.057896617,2.307692308,3
sub-121_task-choose_run-05_bold,0.06045592,3.076923077,4
sub-121_task-choose_run-06_bold,0.047857198,0,0
sub-121_task-choose_run-07_bold,0.053276891,0.769230769,1
sub-121_task-choose_run-08_bold,0.049481006,0,0
sub-121_task-choose_run-09_bold,0.067638099,5.384615385,7
sub-121_task-gonogo_run-01_bold,0.037152988,0,0
sub-121_task-gonogo_run-02_bold,0.049983213,3,3
sub-121_task-switch_bold,0.044093802,2.127659574,4
sub-122_task-choose_run-01_bold,0.355913218,63.07692308,82
sub-122_task-choose_run-02_bold,0.335492888,68.46153846,89
sub-122_task-choose_run-03_bold,0.32346697,73.84615385,96
sub-122_task-choose_run-04_bold,0.32428034,69.23076923,90
sub-122_task-choose_run-05_bold,0.328336855,73.84615385,96
sub-122_task-choose_run-06_bold,0.39948031,80,104
sub-122_task-choose_run-07_bold,0.386321485,75.38461538,98
sub-122_task-choose_run-08_bold,0.514017508,80.76923077,105
