"","food","subj_idx","block","cond","resp","rt","pre_liking","post_liking","taste","health","healthy","tasty","pre_liking_c","post_liking_c","taste_c","health_c","response","post_pre","post_pre_c"
"453","FrozenCorn_2_0.5cup.jpg",102,7,"Natural",1,0.969209466355096,4,2,2,4,"healthy","untasty",0.461928934010152,-1.35032334330019,-1.68270634865447,0.667477922258536,0,-2,-1.81225227731034
"454","RitzSpread_1_1pkg.jpg",102,7,"Natural",2,0.620943409845495,1,1,1,4,"healthy","untasty",-2.53807106598985,-2.35032334330019,-2.68270634865447,0.667477922258536,0,0,0.18774772268966
"455","ClamJuice_1_1T.jpg",102,7,"Natural",1,0.847428434797621,1,1,1,5,"healthy","untasty",-2.53807106598985,-2.35032334330019,-2.68270634865447,1.66747792225854,0,0,0.18774772268966
"456","Orange_5_2orange.jpg",102,7,"Natural",3,1.00554693983941,5,6,6,6,"healthy","tasty",1.46192893401015,2.64967665669981,2.31729365134553,2.66747792225854,1,1,1.18774772268966
"457","Raisins_3_0.25cup.jpg",102,7,"Natural",1,0.542093050760741,1,3,3,3,"unhealthy","untasty",-2.53807106598985,-0.350323343300188,-0.682706348654475,-0.332522077741464,0,2,2.18774772268966
"458","Orange_1_0.25orange.jpg",102,7,"Natural",3,1.20511722352239,5,6,5,5,"healthy","tasty",1.46192893401015,2.64967665669981,1.31729365134553,1.66747792225854,1,1,1.18774772268966
"459","RiceChex_4_0.25Cups.jpg",102,7,"Health",1,0.842428560237749,1,1,2,1,"unhealthy","untasty",-2.53807106598985,-2.35032334330019,-1.68270634865447,-2.33252207774146,0,0,0.18774772268966
"460","Almonds_2_10.jpg",102,7,"Health",1,1.02372425247813,1,1,1,4,"healthy","untasty",-2.53807106598985,-2.35032334330019,-2.68270634865447,0.667477922258536,0,0,0.18774772268966
"461","Relish_2_0.5tbsp.jpg",102,7,"Health",2,1.96830323748873,4,2,4,3,"unhealthy","tasty",0.461928934010152,-1.35032334330019,0.317293651345525,-0.332522077741464,0,-2,-1.81225227731034
"462","PremiumPlus_1_1Crackers.jpg",102,7,"Health",2,1.21804992860416,1,3,2,1,"unhealthy","untasty",-2.53807106598985,-0.350323343300188,-1.68270634865447,-2.33252207774146,0,2,2.18774772268966
"463","Tempeh_4_.5pack.jpg",102,7,"Health",2,1.81871454763314,4,4,4,5,"healthy","tasty",0.461928934010152,0.649676656699812,0.317293651345525,1.66747792225854,0,0,0.18774772268966
"464","Smarties_2_0.5box.jpg",102,7,"Health",1,0.567008200603595,1,1,1,1,"unhealthy","untasty",-2.53807106598985,-2.35032334330019,-2.68270634865447,-2.33252207774146,0,0,0.18774772268966
"465","FruitByTheFoot_1_0.5piece.jpg",102,7,"Health",1,0.670485969068977,4,1,1,1,"unhealthy","untasty",0.461928934010152,-2.35032334330019,-2.68270634865447,-2.33252207774146,0,-3,-2.81225227731034
"466","BabyFoodCarrots_3_2Tbsp.jpg",102,7,"Health",1,0.738464653746632,4,1,1,4,"healthy","untasty",0.461928934010152,-2.35032334330019,-2.68270634865447,0.667477922258536,0,-3,-2.81225227731034
"467","ClifBar_2_0.5bar.jpg",102,7,"Health",1,1.67681574728704,1,3,1,3,"unhealthy","untasty",-2.53807106598985,-0.350323343300188,-2.68270634865447,-0.332522077741464,0,2,2.18774772268966
"468","Caramilk_5_2bars.jpg",102,7,"Health",1,0.558429234020878,1,1,1,1,"unhealthy","untasty",-2.53807106598985,-2.35032334330019,-2.68270634865447,-2.33252207774146,0,0,0.18774772268966
"469","WaterChestnuts_5_0.5can.jpg",102,7,"Decrease",1,1.31231078632482,1,1,1,1,"unhealthy","untasty",-2.53807106598985,-2.35032334330019,-2.68270634865447,-2.33252207774146,0,0,0.18774772268966
"470","RitzCrackers_2_3Crackers.jpg",102,7,"Decrease",2,1.51468372356612,1,3,3,3,"unhealthy","untasty",-2.53807106598985,-0.350323343300188,-0.682706348654475,-0.332522077741464,0,2,2.18774772268966
"471","MangoChunks_2_3.jpg",102,7,"Decrease",3,1.65075885147598,6,5,5,4,"healthy","tasty",2.46192893401015,1.64967665669981,1.31729365134553,0.667477922258536,1,-1,-0.81225227731034
